id_hotel,nombre_hotel,id_ciudad,direccion,telefono,precio
10,Hilton Florence Metropole,Hilton Florence Metropole,Florencia,"518 Hall Dam New Jesse, NM 01087",233-347-518,30
13,CitizenM Paris,CitizenM Paris,París,"833 Flores Key Suite 707 South Elizabethchester, IA 08393",799-491-215,50
20,The Sanctuary House Hotel,The Sanctuary House Hotel,Westminster,"1281 Robert Mountain Schneidermouth, HI 23898",698-634-912,70
15,Le cocon de Leon,Le cocon de Leon,Nancy,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,55
3,Domo Vaticano,Domo Vaticano,Roma,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,30
9,Hotel Jane,Hotel Jane,Florencia,"65223 Valdez Viaduct Lake Seanview, WY 97324",214-454-587,23
18,PitufiHotel,PitufiHotel,Antwerp,"PSC 3268, Box 6667 APO AE 63637",241-126-819,20
2,Palazzo Coliseo,Palazzo Coliseo,Roma,"8183 Michael Glen Apt. 437 Petersonland, VA 66579",771-764-467,43
16,Royal Hotel,Royal Hotel,Bruselas,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",315-196-562,30
7,Hotel delle Nazioni,Hotel delle Nazioni,Florencia,"511 Karen Neck Terriborough, WV 55292",321-718-523,28
1,Hotel Roma,Hotel Roma,Roma,"PSC 1716, Box 5186 APO AP 18920",294-527-692,35
19,B&B Hotel Dresden,B&B Hotel Dresden,Dresde,"703 Garcia Drive Suite 239 West Carolside, NV 09666",633-564-612,35
17,Hotel Phenix,Hotel Phenix,Bruselas,Unit 6357 Box 9808 DPO AA 45781,282-833-326,38
21,Hotel Rex Milano,Hotel Rex Milano,Milán,"71677 Theresa Fields Chadchester, TN 58947",527-989-688,21
12,Eiffel Hotel,Eiffel Hotel,París,"PSC 4851, Box 9887 APO AP 86712",717-744-934,70
14,Hyatt Regency Chantilly,Hyatt Regency Chantilly,Chantilly,"9381 Melissa Walks Apt. 623 Port Barbarafurt, MI 38305",441-127-177,50
5,DomusAmor Navona,DomusAmor Navona,Roma,"47081 Rosales Islands Suite 864 Port Sydney, UT 33108",998-171-811,18
4,Hotel Trastevere,Hotel Trastevere,Roma,Unit 5444 Box 3960 DPO AE 23180,738-387-267,22
8,Hotel Alba Palace,Hotel Alba Palace,Florencia,"8300 Kemp Gateway Suite 979 Blackhaven, WV 71663",745-819-474,25
6,Roma Gondola,Roma Gondola,Roma,"75237 Ross Radial Ashleeburgh, GA 15492",734-544-857,20
11,Montparnasse,Montparnasse,París,"0943 Harmon Ways Collinsburgh, ME 20733",692-622-914,60
,,,,,,
