numero_ticket,usario_id,id_viaje,fecha_compra,numero_de_asiento
1,1,1,2020-03-02 00:00:00,752
2,1,2,2019-11-04 00:00:00,325
3,2,3,2018-12-23 00:00:00,469
4,2,4,2019-11-09 00:00:00,16
5,2,5,2020-01-20 00:00:00,18
6,2,6,2018-09-04 00:00:00,96
7,3,7,2020-08-05 00:00:00,613
8,3,8,2019-01-09 00:00:00,137
9,3,9,2020-12-19 00:00:00,144
10,3,10,2018-02-09 00:00:00,141
11,3,11,2018-05-22 00:00:00,29
12,4,12,2019-11-08 00:00:00,708
13,4,13,2018-05-04 00:00:00,335
14,4,14,2020-12-07 00:00:00,284
15,4,15,2019-03-11 00:00:00,370
16,5,16,2020-05-16 00:00:00,75
17,5,17,2018-06-09 00:00:00,30
18,5,18,2019-03-24 00:00:00,601
19,5,19,2019-09-18 00:00:00,517
20,6,20,2019-02-17 00:00:00,84
21,6,21,2020-02-27 00:00:00,229
22,6,22,2019-07-11 00:00:00,555
23,6,23,2020-02-28 00:00:00,332
24,7,24,2020-08-12 00:00:00,32
25,8,25,2020-05-11 00:00:00,7
26,8,26,2018-12-13 00:00:00,130
27,8,27,2018-11-05 00:00:00,328
28,8,28,2020-04-01 00:00:00,81
29,8,29,2020-12-22 00:00:00,36
30,9,30,2019-02-04 00:00:00,23
31,9,31,2018-07-01 00:00:00,154
32,9,32,2020-07-10 00:00:00,175
33,9,33,2020-10-08 00:00:00,763
34,9,34,2018-08-15 00:00:00,535
35,9,35,2019-02-18 00:00:00,102
36,10,36,2020-02-10 00:00:00,41
37,10,37,2018-08-15 00:00:00,32
38,10,38,2018-11-20 00:00:00,221
39,11,39,2020-05-20 00:00:00,595
40,11,40,2018-01-12 00:00:00,125
41,11,41,2020-05-08 00:00:00,15
42,11,42,2018-07-09 00:00:00,108
43,11,43,2018-10-19 00:00:00,66
44,11,44,2019-04-15 00:00:00,23
45,12,45,2019-01-26 00:00:00,115
46,12,46,2020-08-14 00:00:00,21
47,13,47,2019-09-04 00:00:00,788
48,13,48,2018-03-12 00:00:00,155
49,13,49,2019-12-12 00:00:00,40
50,13,50,2019-07-18 00:00:00,10
51,13,51,2020-02-27 00:00:00,567
52,13,52,2018-07-10 00:00:00,153
53,14,53,2018-05-10 00:00:00,72
54,15,54,2020-10-16 00:00:00,249
55,15,55,2020-10-15 00:00:00,503
56,15,56,2018-03-05 00:00:00,35
57,16,57,2019-07-22 00:00:00,38
58,16,58,2020-08-22 00:00:00,648
59,16,59,2018-05-05 00:00:00,85
60,16,60,2020-02-10 00:00:00,23
61,17,61,2019-08-25 00:00:00,31
62,17,62,2019-12-10 00:00:00,28
63,18,63,2020-09-25 00:00:00,553
64,18,64,2020-06-11 00:00:00,33
65,18,65,2020-09-08 00:00:00,130
66,18,66,2020-10-16 00:00:00,12
67,19,67,2019-09-26 00:00:00,451
68,19,68,2020-10-18 00:00:00,4
69,19,69,2020-03-18 00:00:00,90
70,20,70,2018-12-19 00:00:00,465
71,20,71,2018-10-14 00:00:00,168
72,20,72,2020-04-02 00:00:00,40
73,20,73,2019-05-22 00:00:00,325
74,20,74,2020-10-08 00:00:00,269
75,20,75,2020-02-14 00:00:00,38
76,20,76,2020-05-05 00:00:00,42
77,21,77,2019-03-19 00:00:00,19
78,21,78,2020-03-19 00:00:00,43
79,22,79,2019-05-06 00:00:00,570
80,22,80,2019-06-14 00:00:00,62
81,23,81,2018-12-22 00:00:00,174
82,23,82,2018-02-01 00:00:00,5
83,23,83,2018-12-27 00:00:00,168
84,23,84,2019-04-11 00:00:00,437
85,24,85,2018-08-05 00:00:00,26
86,24,86,2020-02-02 00:00:00,27
87,24,87,2019-03-01 00:00:00,63
88,25,88,2020-05-17 00:00:00,303
89,25,89,2019-10-04 00:00:00,395
90,25,90,2019-08-28 00:00:00,21
91,25,91,2020-09-18 00:00:00,123
92,26,92,2018-06-15 00:00:00,506
93,26,93,2019-04-23 00:00:00,37
94,26,94,2019-11-10 00:00:00,33
95,26,95,2019-12-18 00:00:00,24
96,26,96,2018-07-04 00:00:00,22
97,26,97,2019-02-17 00:00:00,7
98,27,98,2020-08-07 00:00:00,703
99,27,99,2019-08-24 00:00:00,413
100,27,100,2019-05-14 00:00:00,71
101,28,101,2019-02-09 00:00:00,256
102,28,102,2019-06-22 00:00:00,16
103,28,103,2019-09-14 00:00:00,381
104,28,104,2020-09-18 00:00:00,58
105,29,105,2019-06-11 00:00:00,28
106,29,106,2018-04-15 00:00:00,43
107,29,107,2018-03-11 00:00:00,235
108,29,108,2018-12-25 00:00:00,387
109,30,109,2019-06-08 00:00:00,64
110,30,110,2019-05-16 00:00:00,41
111,30,111,2019-04-06 00:00:00,27
112,30,112,2020-02-22 00:00:00,22
113,30,113,2018-03-06 00:00:00,709
114,31,114,2018-03-25 00:00:00,16
115,31,115,2020-07-17 00:00:00,33
116,31,116,2018-09-11 00:00:00,20
117,31,117,2018-06-25 00:00:00,312
118,32,118,2019-02-12 00:00:00,34
119,32,119,2020-04-16 00:00:00,169
120,32,3,2019-01-22 00:00:00,729
121,32,120,2018-09-21 00:00:00,30
122,32,121,2018-09-10 00:00:00,27
123,33,122,2019-02-28 00:00:00,216
124,33,123,2018-04-08 00:00:00,288
125,34,124,2018-06-12 00:00:00,11
126,34,125,2018-12-01 00:00:00,94
127,34,126,2020-02-20 00:00:00,352
128,34,127,2020-03-17 00:00:00,101
129,35,128,2019-12-10 00:00:00,117
130,35,129,2019-07-18 00:00:00,369
131,35,130,2019-01-03 00:00:00,27
132,36,131,2018-06-10 00:00:00,655
133,36,132,2020-09-04 00:00:00,673
134,36,133,2018-05-19 00:00:00,28
135,37,134,2020-10-12 00:00:00,351
136,37,135,2019-09-26 00:00:00,38
137,38,136,2018-12-21 00:00:00,386
138,38,137,2020-02-25 00:00:00,25
139,38,138,2019-07-11 00:00:00,195
140,38,139,2018-01-06 00:00:00,8
141,38,140,2019-01-01 00:00:00,470
142,39,141,2018-10-05 00:00:00,39
143,39,142,2019-12-02 00:00:00,9
144,40,143,2019-09-13 00:00:00,575
145,40,144,2018-05-06 00:00:00,13
146,40,145,2018-04-26 00:00:00,90
147,40,146,2018-12-13 00:00:00,795
148,41,147,2018-07-17 00:00:00,512
149,41,148,2018-01-28 00:00:00,317
150,41,149,2019-06-08 00:00:00,422
151,42,150,2019-11-14 00:00:00,643
152,42,151,2019-09-10 00:00:00,786
153,42,152,2019-07-06 00:00:00,660
154,42,153,2020-07-04 00:00:00,244
155,42,154,2018-01-15 00:00:00,89
156,42,155,2018-01-22 00:00:00,29
157,42,156,2019-06-21 00:00:00,41
158,42,157,2019-01-04 00:00:00,651
159,42,158,2020-04-12 00:00:00,683
160,43,159,2020-11-10 00:00:00,165
161,43,160,2020-07-17 00:00:00,6
162,43,161,2018-10-23 00:00:00,417
163,43,162,2019-03-20 00:00:00,36
164,43,163,2020-09-12 00:00:00,145
165,44,164,2018-08-24 00:00:00,566
166,44,165,2019-07-19 00:00:00,44
167,44,166,2020-04-04 00:00:00,4
168,44,167,2018-01-18 00:00:00,79
169,44,168,2018-01-24 00:00:00,12
170,44,169,2020-10-15 00:00:00,188
171,44,170,2019-11-25 00:00:00,151
172,44,171,2020-09-15 00:00:00,775
173,45,172,2020-03-07 00:00:00,35
174,45,173,2019-02-05 00:00:00,273
175,45,174,2020-12-13 00:00:00,158
176,45,175,2018-03-25 00:00:00,84
177,46,176,2020-04-28 00:00:00,737
178,46,177,2019-12-23 00:00:00,278
179,46,178,2020-06-24 00:00:00,160
180,46,179,2019-03-19 00:00:00,60
181,47,180,2019-01-13 00:00:00,13
182,47,181,2019-07-27 00:00:00,5
183,47,182,2019-12-21 00:00:00,42
184,47,183,2019-01-01 00:00:00,17
185,48,184,2018-04-26 00:00:00,53
186,48,185,2018-10-21 00:00:00,109
187,48,186,2018-11-15 00:00:00,12
188,49,187,2020-03-17 00:00:00,10
189,49,188,2020-10-04 00:00:00,318
190,49,189,2020-05-26 00:00:00,385
191,49,190,2019-08-25 00:00:00,591
192,49,191,2020-07-23 00:00:00,519
193,49,192,2018-01-05 00:00:00,99
194,49,193,2018-11-21 00:00:00,9
195,50,194,2020-09-27 00:00:00,788
196,50,195,2020-06-11 00:00:00,147
197,50,196,2018-10-24 00:00:00,188
198,50,197,2019-07-23 00:00:00,58
199,50,198,2020-10-10 00:00:00,794
200,50,199,2018-07-28 00:00:00,3
201,,200,,
202,,201,,
203,,202,,
204,,203,,
205,,204,,
206,,205,,
207,,206,,
208,,207,,
209,,208,,
